component 0,component 1,component 2,请选择使用模式,flag,username,timestamp
长安新生内部员工贷款车辆需要安装GPS吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpjun6xbqq.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:08:59.175367
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpullv7e96.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:09:27.292879
根据知识库回答问题,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpy5gmxli4.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:09:46.589332
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpe7lxgrd3.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:10:06.285778
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp91_wnt82.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:10:57.900758
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp8gayz98n.json,知识库问答,,444187d8e07b4c39a6cb9b715213e471,2023-07-24 11:11:09.947929
长安新生内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpkhci7t57.json,知识库测试,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:14:32.814151
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpdfpusbw7.json,知识库测试,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:14:52.656910
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpmjtq7a1i.json,知识库测试,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:15:03.569319
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpvmf1to60.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:15:18.518820
内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp_ulytszs.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:15:35.823871
长安新生内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpmq0ci4yc.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:16:48.179949
长安新生内部员工贷款车辆需要加装GPS吗,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpyla7mumw.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:16:51.014586
新生二手车贷款的最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpjl0u905q.json,知识库问答,,1fac2fd049fc4801aef1acfbf777d892,2023-07-24 11:22:53.505583
长安新生二手车最低首付比例,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpm9k4_589.json,知识库问答,,e7538433d9334161bd9f3ce52edb7842,2023-07-24 13:18:40.625303
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp4rh7kst6.json,知识库问答,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:20:56.524478
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpi4qwp8md.json,知识库测试,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:21:17.784161
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpa1uzq2p4.json,知识库测试,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:21:33.544717
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpk3aggz4u.json,知识库测试,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:21:45.154779
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpqce60wn4.json,知识库问答,,f5994c1853de4c3488d36aaa00aa456a,2023-07-24 13:22:04.353986
长安新生二手车最低首付比例是多少？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpomnzprmf.json,知识库问答,,215f1fdaee7649ff9e679000e5f73c2f,2023-07-24 13:29:26.471574
我月收入1万元，现在想要进行贷款，经过评估，我每个月需要还款9000元，那么我可以在贵公司申请贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp6pu87alb.json,知识库问答,,f919e882d5df4be99102921b7184dc08,2023-07-24 14:34:50.885897
我是长安新生的员工，我在申请贷款时可以不给车辆安装GPS吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp3ovcl8t0.json,知识库问答,,f919e882d5df4be99102921b7184dc08,2023-07-24 14:35:24.579558
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp61fru_d6.json,知识库问答,,3c9ecc014f5642b8ab0c2e7c7d629dc5,2023-07-24 14:38:41.899861
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpeu_yv_m0.json,知识库问答,,3c9ecc014f5642b8ab0c2e7c7d629dc5,2023-07-24 14:39:17.825409
我准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpak45k91f.json,知识库问答,,3c9ecc014f5642b8ab0c2e7c7d629dc5,2023-07-24 14:39:42.451658
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpc374xo9p.json,知识库问答,,2e7903e5f0ea41f184e017379f69b5a4,2023-07-24 14:41:29.394873
我准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpemytyn4f.json,知识库问答,,a34dbf60068b474a828d075a0feb26c5,2023-07-24 14:55:17.418623
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmphmd3l06o.json,知识库问答,,ed8ace8506064a2283894fed34482b0b,2023-07-24 15:01:05.406465
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp_2txpzx_.json,知识库问答,,ed8ace8506064a2283894fed34482b0b,2023-07-24 15:01:10.588440
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpdx1w43yp.json,知识库问答,,78f5f9e9998743259d8499db63b4b96c,2023-07-24 15:10:23.165498
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp49gla76b.json,知识库问答,,0b6cc545b1a1446ea995738bae3ee991,2023-07-24 15:17:38.595267
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpdtjo0k1d.json,知识库问答,,9f1d24b75f84490cabbb5cf279865c7d,2023-07-24 15:19:48.625834
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpb5x01x56.json,知识库问答,,062a9b5b54d64875bd0bcc6789fd26f7,2023-07-24 16:05:46.819161
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmprzs3epgu.json,知识库问答,,610a03d8d1094cc996e3bcc25192fec1,2023-07-24 16:07:24.015093
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpck5xw3kx.json,知识库问答,,610a03d8d1094cc996e3bcc25192fec1,2023-07-24 16:07:32.539187
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp042eny6a.json,知识库问答,,610a03d8d1094cc996e3bcc25192fec1,2023-07-24 16:07:43.792556
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpzzj38uft.json,知识库问答,,e47fa607a6354f1ca119af440b0c4d25,2023-07-24 16:09:40.690498
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp17htm9nl.json,知识库问答,,e47fa607a6354f1ca119af440b0c4d25,2023-07-24 16:09:50.533135
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpppxeb4xo.json,知识库问答,,e47fa607a6354f1ca119af440b0c4d25,2023-07-24 16:10:03.674004
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpmy2fja7h.json,知识库问答,,e47fa607a6354f1ca119af440b0c4d25,2023-07-24 16:10:25.753730
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpu3mka0so.json,知识库问答,,a2d59a331d074decb7387f034d89b612,2023-07-24 16:13:04.267233
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmppaqnouz2.json,知识库问答,,a2d59a331d074decb7387f034d89b612,2023-07-24 16:13:14.291675
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp3awjrxqo.json,知识库问答,,0d32e083e9d2406ab3c515ffff3754c7,2023-07-24 16:13:57.670370
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpfhy86szi.json,知识库问答,,0d32e083e9d2406ab3c515ffff3754c7,2023-07-24 16:14:04.759696
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpnmx956h8.json,知识库问答,,cf154cd4623547058edf3a8ee637c869,2023-07-24 16:21:16.032807
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmplpoqc25j.json,知识库问答,,cf154cd4623547058edf3a8ee637c869,2023-07-24 16:21:23.639603
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpquaaro62.json,知识库问答,,cf154cd4623547058edf3a8ee637c869,2023-07-24 16:21:48.536908
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpdp2ae17m.json,知识库问答,,e682f55a8cb44ec3ad6822447eca401b,2023-07-24 16:24:12.513740
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpcc8il6ch.json,知识库问答,,e682f55a8cb44ec3ad6822447eca401b,2023-07-24 16:24:20.980449
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpgk69krlx.json,知识库问答,,ecbed16882a246d3843d9b859eca4bd1,2023-07-24 16:27:47.564334
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp_2ny_ict.json,知识库问答,,ecbed16882a246d3843d9b859eca4bd1,2023-07-24 16:27:56.515988
history,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmppq424cpd.json,知识库问答,,ecbed16882a246d3843d9b859eca4bd1,2023-07-24 16:28:17.465053
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpnohfzj_x.json,知识库问答,,f02d23a47331402d9d67ec8cd5b7ecf9,2023-07-24 16:30:51.466172
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpev2mfzzi.json,知识库问答,,fca88fe867ea4f80b5c977ad8c11f70e,2023-07-24 16:35:22.041691
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpnmdkh6d3.json,知识库问答,,fca88fe867ea4f80b5c977ad8c11f70e,2023-07-24 16:35:44.295369
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpt4pk50bs.json,知识库问答,,fca88fe867ea4f80b5c977ad8c11f70e,2023-07-24 16:36:26.221674
我准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmp9k6dkuub.json,知识库问答,,fca88fe867ea4f80b5c977ad8c11f70e,2023-07-24 16:36:47.657401
我准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmphx6tvo01.json,知识库问答,,b30615f7ab5b489da592eb8f699118d4,2023-07-24 16:39:18.534911
我准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpzieymjz9.json,知识库问答,,5b742525f97e4677b8b90187437d5a39,2023-07-24 16:40:43.428105
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpxclqg0hj.json,知识库问答,,596d35790e3247c78ea254fdf54da4cc,2023-07-24 16:46:48.659685
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpqh_q9v3e.json,知识库问答,,28495d7bce4045e18185852be0747b1f,2023-07-24 17:08:42.207431
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpmryqjsew.json,知识库问答,,dc21300c0e84409492eae6cec289e37e,2023-07-24 17:09:33.735633
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmppw_z7_gx.json,知识库问答,,5327cb3a063e4b298146cbf39733cd43,2023-07-24 17:12:39.812361
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少首付？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpd9uz02m5.json,知识库问答,,5327cb3a063e4b298146cbf39733cd43,2023-07-24 17:12:51.676070
我准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpucg2hj6e.json,知识库问答,,5327cb3a063e4b298146cbf39733cd43,2023-07-24 17:13:03.252174
一个人准备买辆12座的皮卡，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpwor_opyv.json,知识库问答,,5327cb3a063e4b298146cbf39733cd43,2023-07-24 17:13:37.708742
一个人准备买辆12座的LCV，可以在长安新生贷款吗？,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpqjrrwyar.json,知识库问答,,5327cb3a063e4b298146cbf39733cd43,2023-07-24 17:13:54.702510
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpnt33uaxf.json,知识库问答,,7cb9cfec1543455f873916dc807523f3,2023-07-24 17:47:40.003921
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmprse7tflv.json,知识库问答,,7cb9cfec1543455f873916dc807523f3,2023-07-24 17:47:59.999912
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpwatdigh8.json,知识库问答,,b1c5b372f6dc4da6808c33e268428a4d,2023-07-24 17:49:00.380791
你好,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-ChatGLM/flagged/component 2/tmpepmy6z93.json,知识库问答,,0a99b5e3bbe44203b778dba45db4b211,2023-07-24 17:51:31.854076
如果一台设备离线了7天以上，那么它是离线还是在线？,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmpdyixgcq2.json,知识库问答,,1568df33b7934a1e8387b3d5c531c9ee,2023-07-25 14:16:23.050039
如果一台设备离线了7天以下，那么它是离线还是在线？,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmpxtelx0vk.json,知识库问答,,1568df33b7934a1e8387b3d5c531c9ee,2023-07-25 14:16:46.913567
如果一台无线设备离线了7天以下，那么它是离线还是在线？,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmpce5g9ysq.json,知识库问答,,1568df33b7934a1e8387b3d5c531c9ee,2023-07-25 14:18:10.119452
风险管理部在GPS监控管理中的主要职责,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmpzjvqbeft.json,知识库问答,,1568df33b7934a1e8387b3d5c531c9ee,2023-07-25 14:22:33.737327
如果一家GPS厂商的GPS在线率比其它厂商的平均在线率低6%，那么还可以还可以继续采购这家厂商的GPS设备吗？,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmp634xsneb.json,知识库问答,,1568df33b7934a1e8387b3d5c531c9ee,2023-07-25 14:26:53.780551
如果我准备贷款80万买辆库存新车，那么我原则上最少需要支付多少钱作为首付？,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/caxins_ods/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmp12xcr5o0.json,知识库问答,,1568df33b7934a1e8387b3d5c531c9ee,2023-07-25 14:28:15.663222
你好,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmpzi2n4j93.json,知识库问答,,3708fe126b5f434faeb986d9bd1f9497,2023-07-25 14:55:38.627047
你好,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmp20w4kwzg.json,知识库问答,,93b3ef8f0ea24ae2b4eec74828fffb57,2023-07-25 15:11:00.277520
你好,/Users/wavy/Desktop/auto-st/langchain-LLM/knowledge_base/新建知识库/vector_store,/Users/wavy/Desktop/auto-st/langchain-LLM/flagged/component 2/tmp6o0di4p_.json,知识库问答,,93b3ef8f0ea24ae2b4eec74828fffb57,2023-07-25 15:12:27.200502
